uuid,molecule,fragments,linker,anchor_1,anchor_2,energy
75,O=C([O-])c1c(F)cc(-c2cc(F)c(-c3cc(F)c(C(=O)[O-])c(F)c3F)c(F)c2)c(F)c1F,O=C([O-])c1c(F)ccc(F)c1F.O=C([O-])c1c(F)ccc(F)c1F,Fc1cccc(F)c1,7,19,59.76661276279618
76,O=C([O-])c1c(F)cc(-c2cc(F)c(-c3cc(F)c(C(=O)[O-])c(F)c3F)c(F)c2)c(F)c1F,O=C([O-])c1c(F)ccc(F)c1F.O=C([O-])c1c(F)ccc(F)c1F,Fc1cccc(F)c1,7,19,59.76673636459587
77,O=C([O-])c1c(F)cc(-c2cc(F)c(-c3cc(F)c(C(=O)[O-])c(F)c3F)c(F)c2)c(F)c1F,O=C([O-])c1c(F)ccc(F)c1F.O=C([O-])c1c(F)ccc(F)c1F,Fc1cccc(F)c1,7,19,59.76799117968058
78,O=C([O-])c1c(F)cc(-c2cc(F)c(-c3cc(F)c(C(=O)[O-])c(F)c3F)c(F)c2)c(F)c1F,O=C([O-])c1c(F)ccc(F)c1F.O=C([O-])c1c(F)ccc(F)c1F,Fc1cccc(F)c1,7,19,59.771052749421465
79,O=C([O-])c1c(F)cc(-c2cc(F)c(-c3cc(F)c(C(=O)[O-])c(F)c3F)c(F)c2)c(F)c1F,O=C([O-])c1c(F)ccc(F)c1F.O=C([O-])c1c(F)ccc(F)c1F,Fc1cccc(F)c1,7,19,59.77105279631
80,O=C([O-])c1c(F)cc(-c2cc(F)c(-c3cc(F)c(C(=O)[O-])c(F)c3F)c(F)c2)c(F)c1F,O=C([O-])c1c(F)ccc(F)c1F.O=C([O-])c1c(F)ccc(F)c1F,Fc1cccc(F)c1,7,19,59.77230825092718
81,O=C([O-])c1c(F)cc(-c2cc(F)c(-c3cc(F)c(C(=O)[O-])c(F)c3F)c(F)c2)c(F)c1F,O=C([O-])c1c(F)ccc(F)c1F.O=C([O-])c1c(F)ccc(F)c1F,Fc1cccc(F)c1,7,19,59.77230825303518
82,O=C([O-])c1ccc(-c2cc(F)c(-c3cc(F)c(C(=O)[O-])c(F)c3)cc2F)cc1F,O=C([O-])c1c(F)cccc1F.O=C([O-])c1ccccc1F,Fc1ccc(F)cc1,7,17,56.64724398839788
83,O=C([O-])c1ccc(-c2cc(F)c(-c3cc(F)c(C(=O)[O-])c(F)c3)cc2F)cc1F,O=C([O-])c1c(F)cccc1F.O=C([O-])c1ccccc1F,Fc1ccc(F)cc1,7,17,56.64724401500852
84,O=C([O-])c1ccc(-c2cc(F)c(-c3cc(F)c(C(=O)[O-])c(F)c3)cc2F)cc1F,O=C([O-])c1c(F)cccc1F.O=C([O-])c1ccccc1F,Fc1ccc(F)cc1,7,17,56.64730757720566
85,O=C([O-])c1ccc(-c2cc(F)c(-c3cc(F)c(C(=O)[O-])c(F)c3)cc2F)cc1F,O=C([O-])c1c(F)cccc1F.O=C([O-])c1ccccc1F,Fc1ccc(F)cc1,7,17,56.6473075812908
86,O=C([O-])c1ccc(-c2cc(F)c(-c3cc(F)c(C(=O)[O-])c(F)c3)cc2F)cc1F,O=C([O-])c1c(F)cccc1F.O=C([O-])c1ccccc1F,Fc1ccc(F)cc1,7,17,56.64731899986887
87,O=C([O-])c1ccc(-c2cc(F)c(-c3cc(F)c(C(=O)[O-])c(F)c3)cc2F)cc1F,O=C([O-])c1c(F)cccc1F.O=C([O-])c1ccccc1F,Fc1ccc(F)cc1,7,17,56.664739007234566
88,O=C([O-])c1ccc(-c2cc(F)c(-c3cc(F)c(C(=O)[O-])c(F)c3)cc2F)cc1F,O=C([O-])c1c(F)cccc1F.O=C([O-])c1ccccc1F,Fc1ccc(F)cc1,7,17,56.66475325337949
89,O=C([O-])c1ccc(-c2cc(F)c(-c3cc(F)c(C(=O)[O-])c(F)c3)cc2F)cc1F,O=C([O-])c1c(F)cccc1F.O=C([O-])c1ccccc1F,Fc1ccc(F)cc1,7,17,56.66489449417783
90,O=C([O-])c1ccc(-c2cc(F)c(-c3cc(F)c(C(=O)[O-])c(F)c3)cc2F)cc1F,O=C([O-])c1c(F)cccc1F.O=C([O-])c1ccccc1F,Fc1ccc(F)cc1,7,17,56.66489449949928
91,O=C([O-])c1ccc(-c2cc(F)c(-c3cc(F)c(C(=O)[O-])c(F)c3)cc2F)cc1F,O=C([O-])c1c(F)cccc1F.O=C([O-])c1ccccc1F,Fc1ccc(F)cc1,7,17,56.72708333536845
92,O=C([O-])c1ccc(-c2cc(F)c(-c3cc(F)c(C(=O)[O-])c(F)c3)cc2F)cc1F,O=C([O-])c1c(F)cccc1F.O=C([O-])c1ccccc1F,Fc1ccc(F)cc1,7,17,56.7270947718547
93,O=C([O-])c1ccc(-c2cc(F)c(-c3cc(F)c(C(=O)[O-])c(F)c3)cc2F)cc1F,O=C([O-])c1c(F)cccc1F.O=C([O-])c1ccccc1F,Fc1ccc(F)cc1,7,17,56.744525818627224
94,O=C([O-])c1ccc(-c2cc(F)c(-c3cc(F)c(C(=O)[O-])c(F)c3)cc2F)cc1F,O=C([O-])c1c(F)cccc1F.O=C([O-])c1ccccc1F,Fc1ccc(F)cc1,7,17,56.74465833622584
95,Fc1cc(-c2cc(F)c(-c3ccnc(F)c3F)c(F)c2)c(F)cn1,Fc1ccc(F)nc1.Fc1cccnc1F,Fc1cccc(F)c1,3,13,48.939814204777
